Column1;Column2;Column3;Column4
телефонить;;VERB;
темакамет;;NOUN;
тизано;;NOUN;
тихоголосый;;ADJF;
толпотворенье;;NOUN;
толстомордик;;NOUN;
топтада;;NOUN;
топтодия;;NOUN;
трансвестировать;;VERB;
тревожаще;;ADVB;
триумфаторка;;NOUN;
тьмутаракант;;NOUN;
тюленица;;NOUN;
тягощить;;VERB;
умонепостижимо;;ADVB;
ультращуки;;NOUN;
факснуться;;VERB;
фальмалогичный;;ADJF;
фантасмагорийный;;ADJF;
фарфорен;;ADVB;
физтело;;NOUN;
филателийский;;ADJF;
харьковчаночка;;NOUN;
хевря;;NOUN;
хипня;;NOUN;
хотца;;VERB;
